Executed MPI Program,Number of MPI Processes,Execution Time (ms),Memory Usage (KB)
raft.c,10,126.02,1424
raft.c,10,126.29,1420
raft.c,10,125.78,1424
raft.c,10,126.72,1424
raft.c,10,128.12,1424
raft.c,10,126.80,1416
raft.c,10,125.71,1412
raft.c,10,125.90,1408
raft.c,10,128.00,1428
raft.c,10,125.78,1424
raft.c,10,127.19,1428
raft.c,10,127.59,1424
raft.c,10,127.22,1424
raft.c,10,126.16,1428
raft.c,10,126.14,1424
raft.c,10,127.69,1424
raft.c,10,125.46,1428
raft.c,10,126.79,1428
raft.c,10,126.50,1424
raft.c,10,126.67,1424
raft.c,10,125.71,1424
raft.c,10,126.58,1428
raft.c,10,126.11,1416
raft.c,10,127.78,1420
raft.c,10,126.34,1424
raft.c,10,126.12,1424
raft.c,10,126.65,1424
raft.c,10,125.89,1424
raft.c,10,125.74,1404
raft.c,10,126.53,1428
raft.c,10,126.30,1424
raft.c,10,126.34,1424
raft.c,10,125.68,1412
raft.c,10,126.97,1428
raft.c,10,126.95,1424
raft.c,10,126.51,1424
raft.c,10,126.48,1424
raft.c,10,126.55,1428
raft.c,10,127.21,1428
raft.c,10,125.92,1428
raft.c,10,126.26,1428
raft.c,10,125.94,1428
raft.c,10,126.19,1428
raft.c,10,125.47,1424
raft.c,10,126.54,1424
raft.c,10,126.90,1408
raft.c,10,126.19,1428
raft.c,10,126.49,1424
raft.c,10,131.45,1424
raft.c,10,152.76,1404
raft.c,10,126.45,1424
raft.c,10,126.13,1428
raft.c,10,126.35,1428
raft.c,10,126.19,1412
raft.c,10,126.99,1424
raft.c,10,126.16,1424
raft.c,10,126.64,1428
raft.c,10,129.51,1416
raft.c,10,126.73,1424
raft.c,10,125.90,1428
raft.c,10,126.61,1424
raft.c,10,126.95,1428
raft.c,10,126.34,1428
raft.c,10,126.73,1416
raft.c,10,126.44,1424
raft.c,10,125.83,1428
raft.c,10,126.26,1424
raft.c,10,125.76,1428
raft.c,10,126.82,1416
raft.c,10,126.19,1412
raft.c,10,126.06,1424
raft.c,10,126.84,1428
raft.c,10,125.91,1424
raft.c,10,126.84,1416
raft.c,10,126.24,1404
raft.c,10,126.33,1416
raft.c,10,126.46,1428
raft.c,10,126.47,1424
raft.c,10,125.80,1424
raft.c,10,126.73,1416
raft.c,10,126.05,1416
raft.c,10,126.91,1424
raft.c,10,126.68,1428
raft.c,10,127.60,1424
raft.c,10,126.02,1424
raft.c,10,126.47,1420
raft.c,10,126.55,1424
raft.c,10,127.06,1424
raft.c,10,127.09,1412
paxos.c,3,1331.96,1428
paxos.c,3,1333.57,1428
paxos.c,3,2344.19,1428
paxos.c,3,1332.55,1424
paxos.c,3,1334.16,1428
paxos.c,3,2329.97,1428
paxos.c,3,2337.06,1412
paxos.c,3,2332.93,1408
paxos.c,3,2326.52,1424
